ImageName,ImageSize,TTX,OutputReported,Seals,UnitID
"""WV03_20170908075118_104001003318E700_17SEP08075118-P1BS-501603157010_01_P011_u08rf3031.tif"".tif",1460,128.28090000152588,54.0,3,4350
"""WV03_20170902222542_10400100310D2700_17SEP02222542-P1BS-501667685050_01_P005_u08rf3031.tif"".tif",586,168.05320000648499,71.0,3,4327
"""WV03_20171219132106_1040010037952A00_17DEC19132106-P1BS-501954101080_01_P001_u08rf3031.tif"".tif",1192,154.04929995536804,61.0,0,5538
"""WV03_20171015140956_1040010034737400_17OCT15140956-P1BS-501862223010_01_P004_u08rf3031.tif"".tif",1529,162.73189997673035,63.0,74,5962
"""WV03_20170613124030_104001002D9DA600_17JUN13124030-P1BS-501461471070_01_P005_u08rf3031.tif"".tif",656,164.30279994010925,59.0,10,5915
"""WV03_20171228135648_1040010036A0BD00_17DEC28135648-P1BS-501956600060_01_P001_u08rf3031.tif"".tif",1300,144.08509993553162,58.0,493,5881
"""WV03_20171214182528_1040010036D5C900_17DEC14182528-P1BS-501968327070_01_P006_u08rf3031.tif"".tif",907,173.8739001750946,76.0,22,3133
"""WV03_20171013035850_1040010032700400_17OCT13035850-P1BS-501861933100_01_P002_u08rf3031.tif"".tif",548,136.0932002067566,50.0,0,5435
"""WV03_20170929180819_10400100320A5C00_17SEP29180819-P1BS-501946167080_01_P001_u08rf3031.tif"".tif",1666,135.3571000099182,61.0,59,5442
"""WV03_20171203220153_1040010035669A00_17DEC03220153-P1BS-501932136030_01_P003_u08rf3031.tif"".tif",834,239.95900011062622,138.0,0,3144
"""WV03_20171214085137_1040010035AF0500_17DEC14085137-P1BS-501934290060_01_P006_u08rf3031.tif"".tif",1855,220.1454999446869,124.0,2,5818
"""WV03_20171209023218_1040010036498000_17DEC09023218-P1BS-501954013070_01_P002_u08rf3031.tif"".tif",1413,178.44029998779297,62.0,96,6159
"""WV03_20171111211304_104001003445DC00_17NOV11211304-P1BS-501917427080_01_P006_u08rf3031.tif"".tif",1748,227.9637999534607,118.0,27,6054
"""WV03_20171219132118_1040010037952A00_17DEC19132118-P1BS-501954101080_01_P008_u08rf3031.tif"".tif",1610,200.5945999622345,101.0,0,4760
"""WV03_20171001040447_1040010033166B00_17OCT01040447-P1BS-501946280060_01_P005_u08rf3031.tif"".tif",2220,241.41739988327026,134.0,0,4683
"""WV03_20170917034143_104001003332B600_17SEP17034143-P1BS-501946286080_01_P002_u08rf3031.tif"".tif",1939,182.31669998168945,85.0,43,4717
"""WV03_20171219212053_104001003503EA00_17DEC19212053-P1BS-501920243040_01_P004_u08rf3031.tif"".tif",930,187.50129985809326,79.0,14,6023
"""WV03_20171002185713_1040010033BCDC00_17OCT02185713-P1BS-501946343040_01_P003_u08rf3031.tif"".tif",1568,186.2578001022339,84.0,0,3854
"""WV03_20171014135444_1040010034033600_17OCT14135444-P1BS-501862138030_01_P005_u08rf3031.tif"".tif",662,101.14310002326965,48.0,50,5108
"""WV03_20171007183806_1040010033051A00_17OCT07183806-P1BS-501861939020_01_P003_u08rf3031.tif"".tif",1946,172.95239996910095,70.0,0,3823
"""WV03_20171219212050_104001003503EA00_17DEC19212050-P1BS-501920243040_01_P002_u08rf3031.tif"".tif",1535,282.3510000705719,150.0,172,3479
"""WV03_20170922144252_1040010033327700_17SEP22144252-P1BS-501946286070_01_P005_u08rf3031.tif"".tif",1006,174.58550000190735,83.0,0,3959
