Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20170920204154_10400100333DE600_17SEP20204154-P1BS-501946289070_01_P002_u08rf3031.tif,1553698448.4576728,1553698515.7118409,20880
/pylon5/mc3bggp/bspitz/Seals/WV03_20171121024331_1040010036540100_17NOV21024331-P1BS-501954092020_01_P001_u08rf3031.tif,1553698515.791327,1553698585.3378184,17955
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002185723_1040010033BCDC00_17OCT02185723-P1BS-501946343040_01_P009_u08rf3031.tif,1553698585.512733,1553698669.0631566,22430
/pylon5/mc3bggp/bspitz/Seals/WV03_20170828094917_10400100315F5700_17AUG28094917-P1BS-501669232080_01_P006_u08rf3031.tif,1553698669.2574477,1553698728.9001324,21265
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002154133_10400100335CCB00_17OCT02154133-P1BS-501946295060_01_P003_u08rf3031.tif,1553698729.0380213,1553698810.8686185,21690
/pylon5/mc3bggp/bspitz/Seals/WV03_20171116205317_10400100364FB500_17NOV16205317-P1BS-501954087070_01_P001_u08rf3031.tif,1553698811.0536704,1553698861.8180144,18100
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907104851_1040010033D30D00_17SEP07104851-P1BS-501603217090_01_P002_u08rf3031.tif,1553698861.9405954,1553698934.5765026,21376
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925135011_1040010033CA0500_17SEP25135011-P1BS-501946343080_01_P004_u08rf3031.tif,1553698934.7126493,1553699025.771416,24594
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109042910_10400100343EA500_17NOV09042910-P1BS-501917426030_01_P005_u08rf3031.tif,1553699026.0693853,1553699097.9297862,19442
/pylon5/mc3bggp/bspitz/Seals/WV03_20171230142634_1040010036050200_17DEC30142634-P1BS-501934401030_01_P003_u08rf3031.tif,1553699098.1038728,1553699166.235676,17286
/pylon5/mc3bggp/bspitz/Seals/WV03_20171205062229_1040010037899400_17DEC05062229-P1BS-501954095070_01_P008_u08rf3031.tif,1553699166.436836,1553699276.0723505,24112
/pylon5/mc3bggp/bspitz/Seals/WV03_20170927142242_10400100332D4B00_17SEP27142242-P1BS-501946285100_01_P013_u08rf3031.tif,1553699276.3762655,1553699360.2016644,22998
/pylon5/mc3bggp/bspitz/Seals/WV03_20171206063648_10400100361F0900_17DEC06063648-P1BS-501953984010_01_P004_u08rf3031.tif,1553699360.4623528,1553699453.4954343,21810
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213145517_1040010036ADC600_17DEC13145517-P1BS-501956610010_01_P001_u08rf3031.tif,1553699453.81467,1553699519.806565,19423
/pylon5/mc3bggp/bspitz/Seals/WV03_20170906134425_104001003237D500_17SEP06134425-P1BS-501603229080_01_P002_u08rf3031.tif,1553699519.9757953,1553699603.8558187,22468
