Image,Start,End,Tiles
/pylon5/mc3bggp/bspitz/Seals/WV03_20171012132235_1040010033CAB400_17OCT12132235-P1BS-501862130100_01_P004_u08rf3031.tif,1553541109.6784995,1553541179.1428535,22085
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140638_1040010031BE8A00_17SEP01140638-P1BS-501669350010_01_P009_u08rf3031.tif,1553541179.3764813,1553541250.4476497,20319
/pylon5/mc3bggp/bspitz/Seals/WV03_20170829230119_1040010032504B00_17AUG29230119-P1BS-501603144080_01_P004_u08rf3031.tif,1553541250.6376472,1553541307.0573056,16888
/pylon5/mc3bggp/bspitz/Seals/WV03_20170913220506_1040010033986E00_17SEP13220506-P1BS-501989198080_01_P001_u08rf3031.tif,1553541307.2409146,1553541383.4575078,21513
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221152737_1040010036742300_17DEC21152737-P1BS-501956508030_01_P009_u08rf3031.tif,1553541383.628449,1553541468.9854205,20795
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930021254_1040010034BB1C00_17SEP30021254-P1BS-501946357030_01_P001_u08rf3031.tif,1553541469.1870897,1553541544.2701838,19633
/pylon5/mc3bggp/bspitz/Seals/WV03_20171020233336_10400100334E6100_17OCT20233336-P1BS-501862013070_01_P001_u08rf3031.tif,1553541544.4326768,1553541631.7800832,21669
/pylon5/mc3bggp/bspitz/Seals/WV03_20171026134845_1040010034B3BF00_17OCT26134845-P1BS-501920098010_01_P002_u08rf3031.tif,1553541632.0452359,1553541708.6507611,20135
/pylon5/mc3bggp/bspitz/Seals/WV03_20171204204320_1040010035879B00_17DEC04204320-P1BS-501932175060_01_P007_u08rf3031.tif,1553541708.8867817,1553541800.6891437,24000
/pylon5/mc3bggp/bspitz/Seals/WV03_20170908092748_1040010031C67800_17SEP08092748-P1BS-501669352030_01_P006_u08rf3031.tif,1553541800.9413927,1553541865.378034,19763
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231628_10400100317D4700_17AUG18231628-P1BS-501946162020_01_P006_u08rf3031.tif,1553541865.53905,1553541922.4213212,19259
/pylon5/mc3bggp/bspitz/Seals/WV03_20171113070942_10400100350B5900_17NOV13070942-P1BS-501920249050_01_P007_u08rf3031.tif,1553541922.5570762,1553542001.4086444,19248
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221090300_10400100363ECE00_17DEC21090300-P1BS-501954005060_01_P005_u08rf3031.tif,1553542001.6139183,1553542085.8795412,21010
/pylon5/mc3bggp/bspitz/Seals/WV03_20170929225901_1040010032BC7300_17SEP29225901-P1BS-501946272070_01_P001_u08rf3031.tif,1553542086.0541754,1553542178.2300916,22612
/pylon5/mc3bggp/bspitz/Seals/WV03_20170928193148_1040010033752400_17SEP28193148-P1BS-501946300030_01_P004_u08rf3031.tif,1553542178.4789147,1553542262.9416227,20281
/pylon5/mc3bggp/bspitz/Seals/WV03_20171108220235_1040010035D7F000_17NOV08220235-P1BS-501934398080_01_P006_u08rf3031.tif,1553542263.1998234,1553542346.4368956,23306
/pylon5/mc3bggp/bspitz/Seals/WV03_20171006083822_1040010032992C00_17OCT06083822-P1BS-501861935090_01_P008_u08rf3031.tif,1553542346.667891,1553542423.8119693,22547
/pylon5/mc3bggp/bspitz/Seals/WV03_20170921205633_104001003259F300_17SEP21205633-P1BS-501946236060_01_P002_u08rf3031.tif,1553542423.9867675,1553542501.1414955,21907
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914155257_1040010033BB8600_17SEP14155257-P1BS-501946344100_01_P004_u08rf3031.tif,1553542501.3052137,1553542576.9548295,19746
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008135729_1040010033997300_17OCT08135729-P1BS-501862030100_01_P004_u08rf3031.tif,1553542577.147588,1553542658.532912,18944
/pylon5/mc3bggp/bspitz/Seals/WV03_20171016125039_1040010034323300_17OCT16125039-P1BS-501989207060_01_P002_u08rf3031.tif,1553542658.7529829,1553542730.6204145,20770
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140755_1040010034520600_17OCT21140755-P1BS-501862154020_01_P008_u08rf3031.tif,1553542730.8423214,1553542823.3976507,24061
/pylon5/mc3bggp/bspitz/Seals/WV03_20171020135047_1040010033C33D00_17OCT20135047-P1BS-501862132010_01_P003_u08rf3031.tif,1553542823.7219803,1553542925.61611,23571
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907220842_1040010030B0A500_17SEP07220842-P1BS-501667677050_01_P003_u08rf3031.tif,1553542925.9623587,1553543012.5337663,22123
/pylon5/mc3bggp/bspitz/Seals/WV03_20171216141253_1040010036587400_17DEC16141253-P1BS-501954094030_01_P007_u08rf3031.tif,1553543012.7792127,1553543097.3348348,23406
/pylon5/mc3bggp/bspitz/Seals/WV03_20171126053841_104001003672BE00_17NOV26053841-P1BS-501956506020_01_P003_u08rf3031.tif,1553543097.615594,1553543192.3679428,22484
/pylon5/mc3bggp/bspitz/Seals/WV03_20170914092338_1040010033D16500_17SEP14092338-P1BS-501946348030_01_P002_u08rf3031.tif,1553543192.6880364,1553543270.5247884,23928
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217141844_1040010035723600_17DEC17141844-P1BS-501932160020_01_P007_u08rf3031.tif,1553543270.7398343,1553543358.1416817,22169
/pylon5/mc3bggp/bspitz/Seals/WV03_20171008220730_104001003349D500_17OCT08220730-P1BS-501862014040_01_P003_u08rf3031.tif,1553543358.4467957,1553543452.9623628,21867
/pylon5/mc3bggp/bspitz/Seals/WV03_20180107195055_10400100356CA000_18JAN07195055-P1BS-501932139090_01_P006_u08rf3031.tif,1553543453.248627,1553543541.0628173,21482
/pylon5/mc3bggp/bspitz/Seals/WV03_20180106130202_1040010037AEBB00_18JAN06130202-P1BS-501954108020_01_P002_u08rf3031.tif,1553543541.3065972,1553543623.4515975,20466
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231737_1040010031442200_17AUG18231737-P1BS-501946158030_01_P004_u08rf3031.tif,1553543623.6975784,1553543686.5831814,20213
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131559_10400100379A3800_17DEC13131559-P1BS-501954103010_01_P006_u08rf3031.tif,1553543686.7760925,1553543760.3399367,21652
/pylon5/mc3bggp/bspitz/Seals/WV03_20171201035045_10400100365C4300_17DEC01035045-P1BS-501956493080_01_P002_u08rf3031.tif,1553543760.6485283,1553543868.0892968,23118
/pylon5/mc3bggp/bspitz/Seals/WV03_20170906040419_1040010031952700_17SEP06040419-P1BS-501984230050_01_P005_u08rf3031.tif,1553543868.4313953,1553543959.302203,23583
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818231725_1040010032AA7700_17AUG18231725-P1BS-501946250040_01_P007_u08rf3031.tif,1553543959.61604,1553544027.6692817,21027
/pylon5/mc3bggp/bspitz/Seals/WV03_20171021140640_104001003568EC00_17OCT21140640-P1BS-501862248040_01_P007_u08rf3031.tif,1553544027.8925505,1553544101.4379663,18048
/pylon5/mc3bggp/bspitz/Seals/WV03_20171113231827_104001003575B900_17NOV13231827-P1BS-501932163060_01_P001_u08rf3031.tif,1553544101.6923492,1553544190.1734312,18063
/pylon5/mc3bggp/bspitz/Seals/WV03_20171004161324_1040010034AC6600_17OCT04161324-P1BS-501862234040_01_P010_u08rf3031.tif,1553544190.4333827,1553544236.9080098,10050
/pylon5/mc3bggp/bspitz/Seals/WV03_20171228220229_1040010036CA8700_17DEC28220229-P1BS-501968316010_01_P001_u08rf3031.tif,1553544237.0412676,1553544307.5563645,18087
/pylon5/mc3bggp/bspitz/Seals/WV03_20170824133741_104001003197AA00_17AUG24133741-P1BS-501984229030_01_P001_u08rf3031.tif,1553544307.7524874,1553544411.8555274,22597
/pylon5/mc3bggp/bspitz/Seals/WV03_20171029112450_1040010033AA7B00_17OCT29112450-P1BS-501896778010_01_P001_u08rf3031.tif,1553544412.1901095,1553544497.7164223,19799
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930034853_10400100340AED00_17SEP30034853-P1BS-501946351090_01_P004_u08rf3031.tif,1553544497.9701805,1553544575.2167764,23398
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217080130_10400100362B1100_17DEC17080130-P1BS-501953993070_01_P004_u08rf3031.tif,1553544575.4173794,1553544659.1995654,20803
/pylon5/mc3bggp/bspitz/Seals/WV03_20171012132256_10400100341DB600_17OCT12132256-P1BS-501862141090_01_P002_u08rf3031.tif,1553544659.4486847,1553544760.1367147,23604
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002154228_10400100348B3300_17OCT02154228-P1BS-501946354010_01_P001_u08rf3031.tif,1553544760.4977908,1553544839.6378422,19653
/pylon5/mc3bggp/bspitz/Seals/WV03_20171002073548_10400100331CB200_17OCT02073548-P1BS-501946281080_01_P001_u08rf3031.tif,1553544839.8549128,1553544927.9966238,20473
/pylon5/mc3bggp/bspitz/Seals/WV03_20171214213938_1040010035268300_17DEC14213938-P1BS-501922391060_01_P001_u08rf3031.tif,1553544928.290589,1553544992.7198722,18004
/pylon5/mc3bggp/bspitz/Seals/WV03_20171217080138_10400100362B1100_17DEC17080138-P1BS-501953993070_01_P009_u08rf3031.tif,1553544992.8894184,1553545068.7201724,20962
/pylon5/mc3bggp/bspitz/Seals/WV03_20171228135657_1040010036A0BD00_17DEC28135657-P1BS-501956600060_01_P007_u08rf3031.tif,1553545068.9799244,1553545145.5225875,20467
/pylon5/mc3bggp/bspitz/Seals/WV03_20171014135439_1040010034033600_17OCT14135439-P1BS-501862138030_01_P001_u08rf3031.tif,1553545145.7754514,1553545228.517916,18951
/pylon5/mc3bggp/bspitz/Seals/WV03_20171022222905_1040010035C45200_17OCT22222905-P1BS-501862247070_01_P004_u08rf3031.tif,1553545228.732457,1553545308.9822667,22825
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129175049_10400100358FFC00_17NOV29175049-P1BS-501932181010_01_P006_u08rf3031.tif,1553545309.2151492,1553545396.8302374,24376
/pylon5/mc3bggp/bspitz/Seals/WV03_20171204204427_1040010036202100_17DEC04204427-P1BS-501953986080_01_P008_u08rf3031.tif,1553545397.1016061,1553545477.9834945,19838
/pylon5/mc3bggp/bspitz/Seals/WV03_20171224045759_1040010038052E00_17DEC24045759-P1BS-501954066030_01_P005_u08rf3031.tif,1553545478.1940792,1553545585.2210982,23834
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818134207_104001003107D400_17AUG18134207-P1BS-501667684090_01_P005_u08rf3031.tif,1553545585.5349877,1553545667.8926814,21529
/pylon5/mc3bggp/bspitz/Seals/WV03_20170610230930_104001002D090B00_17JUN10230930-P1BS-501946143040_01_P010_u08rf3031.tif,1553545668.223332,1553545748.805586,24260
/pylon5/mc3bggp/bspitz/Seals/WV03_20170922144144_1040010033AFD100_17SEP22144144-P1BS-501946342070_01_P003_u08rf3031.tif,1553545749.0728498,1553545827.5763447,21885
/pylon5/mc3bggp/bspitz/Seals/WV03_20171126053837_104001003672BE00_17NOV26053837-P1BS-501956506020_01_P001_u08rf3031.tif,1553545827.8436742,1553545925.9070723,21128
/pylon5/mc3bggp/bspitz/Seals/WV03_20171022044149_1040010034BDBA00_17OCT22044149-P1BS-501862237080_01_P005_u08rf3031.tif,1553545926.3075871,1553546004.864438,19227
/pylon5/mc3bggp/bspitz/Seals/WV03_20170904051057_1040010031829E00_17SEP04051057-P1BS-501669237100_01_P002_u08rf3031.tif,1553546005.1994781,1553546084.8557107,20056
/pylon5/mc3bggp/bspitz/Seals/WV03_20171129175047_10400100358FFC00_17NOV29175047-P1BS-501932181010_01_P005_u08rf3031.tif,1553546085.5226135,1553546186.2314737,24309
/pylon5/mc3bggp/bspitz/Seals/WV03_20170922144252_1040010033327700_17SEP22144252-P1BS-501946286070_01_P005_u08rf3031.tif,1553546186.6292603,1553546300.9704978,19695
/pylon5/mc3bggp/bspitz/Seals/WV03_20171228135601_10400100358E6900_17DEC28135601-P1BS-501932180020_01_P006_u08rf3031.tif,1553546301.181431,1553546403.1288922,23568
/pylon5/mc3bggp/bspitz/Seals/WV03_20171003061228_10400100333EF600_17OCT03061228-P1BS-501862011030_01_P003_u08rf3031.tif,1553546403.4505012,1553546569.0608737,20925
/pylon5/mc3bggp/bspitz/Seals/WV03_20171005211858_104001003393B800_17OCT05211858-P1BS-501862028090_01_P007_u08rf3031.tif,1553546569.4093828,1553546644.4960144,21743
/pylon5/mc3bggp/bspitz/Seals/WV03_20171001134805_104001003280B600_17OCT01134805-P1BS-501946244090_01_P008_u08rf3031.tif,1553546644.7401762,1553546733.070802,21610
/pylon5/mc3bggp/bspitz/Seals/WV03_20170903143656_10400100334E5000_17SEP03143656-P1BS-501603159030_01_P008_u08rf3031.tif,1553546733.4618678,1553546878.3331006,22015
/pylon5/mc3bggp/bspitz/Seals/WV03_20171027140317_1040010034872700_17OCT27140317-P1BS-501920081070_01_P001_u08rf3031.tif,1553546878.685708,1553546956.3013442,19965
/pylon5/mc3bggp/bspitz/Seals/WV03_20171108220341_1040010034415800_17NOV08220341-P1BS-501917426080_01_P006_u08rf3031.tif,1553546956.633862,1553547035.6849155,20005
/pylon5/mc3bggp/bspitz/Seals/WV03_20171126053839_104001003672BE00_17NOV26053839-P1BS-501956506020_01_P002_u08rf3031.tif,1553547035.9352417,1553547131.920065,22543
/pylon5/mc3bggp/bspitz/Seals/WV03_20170613124037_104001002D9DA600_17JUN13124037-P1BS-501461471070_01_P009_u08rf3031.tif,1553547132.2499661,1553547216.6202838,21410
/pylon5/mc3bggp/bspitz/Seals/WV03_20170901140639_1040010031BE8A00_17SEP01140639-P1BS-501669350010_01_P010_u08rf3031.tif,1553547216.9116147,1553547253.2571514,12499
/pylon5/mc3bggp/bspitz/Seals/WV03_20171115025606_1040010034AA1100_17NOV15025606-P1BS-501920095060_01_P004_u08rf3031.tif,1553547253.4007742,1553547471.569505,21106
/pylon5/mc3bggp/bspitz/Seals/WV03_20170818134209_104001003107D400_17AUG18134209-P1BS-501667684090_01_P006_u08rf3031.tif,1553547471.9094436,1553547554.1161137,21498
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930133138_104001003349FD00_17SEP30133138-P1BS-501987136100_01_P008_u08rf3031.tif,1553547554.3800485,1553547713.2662737,24052
/pylon5/mc3bggp/bspitz/Seals/WV03_20170930035002_1040010032459400_17SEP30035002-P1BS-501946234070_01_P005_u08rf3031.tif,1553547713.6247208,1553547784.129289,19348
/pylon5/mc3bggp/bspitz/Seals/WV03_20171205205941_10400100368C9900_17DEC05205941-P1BS-501956587030_01_P008_u08rf3031.tif,1553547784.295469,1553547879.7103946,21884
/pylon5/mc3bggp/bspitz/Seals/WV03_20170919104157_10400100332ACF00_17SEP19104157-P1BS-501946282070_01_P009_u08rf3031.tif,1553547880.0334399,1553547963.3591824,21261
/pylon5/mc3bggp/bspitz/Seals/WV03_20170925072359_1040010031629500_17SEP25072359-P1BS-501946161030_01_P004_u08rf3031.tif,1553547963.644753,1553548024.837248,12093
/pylon5/mc3bggp/bspitz/Seals/WV03_20171017063558_1040010034422D00_17OCT17063558-P1BS-501862150070_01_P005_u08rf3031.tif,1553548025.06189,1553548131.9378283,18687
/pylon5/mc3bggp/bspitz/Seals/WV03_20171109235315_10400100341DFC00_17NOV09235315-P1BS-501896793030_01_P005_u08rf3031.tif,1553548132.343144,1553548235.441768,23061
/pylon5/mc3bggp/bspitz/Seals/WV03_20171007183802_1040010033051A00_17OCT07183802-P1BS-501861939020_01_P001_u08rf3031.tif,1553548235.8476849,1553548384.901467,21482
/pylon5/mc3bggp/bspitz/Seals/WV03_20170905101659_104001003283AB00_17SEP05101659-P1BS-501603149020_01_P001_u08rf3031.tif,1553548385.3188698,1553548521.5896878,18728
/pylon5/mc3bggp/bspitz/Seals/WV03_20170903143648_10400100334E5000_17SEP03143648-P1BS-501603159030_01_P003_u08rf3031.tif,1553548521.7632368,1553548601.270171,21549
/pylon5/mc3bggp/bspitz/Seals/WV03_20170907234334_104001003362E000_17SEP07234334-P1BS-501603160050_01_P001_u08rf3031.tif,1553548601.547888,1553548674.448135,17000
/pylon5/mc3bggp/bspitz/Seals/WV03_20171213131601_10400100379A3800_17DEC13131601-P1BS-501954103010_01_P007_u08rf3031.tif,1553548674.6850388,1553548757.736055,21406
/pylon5/mc3bggp/bspitz/Seals/WV03_20171221040240_1040010037485300_17DEC21040240-P1BS-501968386030_01_P002_u08rf3031.tif,1553548758.0830572,1553548843.6179347,24086
/pylon5/mc3bggp/bspitz/Seals/WV03_20171201065745_10400100358AFA00_17DEC01065745-P1BS-501932179010_01_P004_u08rf3031.tif,1553548843.894616,1553548943.6143477,23071
/pylon5/mc3bggp/bspitz/Seals/WV03_20170919184735_104001003249E000_17SEP19184735-P1BS-501946235010_01_P001_u08rf3031.tif,1553548943.9768255,1553549079.7173257,19590
/pylon5/mc3bggp/bspitz/Seals/WV03_20171012213103_10400100347FF900_17OCT12213103-P1BS-501862226080_01_P001_u08rf3031.tif,1553549080.0349066,1553549159.6465883,21190
